Sony,PlayStation 2,2000
Nintendo,Game Boy Color,1998
Microsoft,Xbox One,2013
Nintendo,Game Boy Advance,2001
Sony,PlayStation 2,2000
Nintendo,Game Boy Color,1998
Sony,PlayStation 3,2006
Microsoft,Xbox,2001
Nintendo,GameCube,2001
Sony,PlayStation,1994
Microsoft,Xbox 360,2005
Nintendo,Nintendo Switch,2017
Sony,PlayStation 5,2020
Nintendo,Game Boy Color,1998
Sega,Sega Saturn,1994
Nintendo,Wii,2006
Microsoft,Xbox Series X,2020
Audiosonic,1292 APVS,1978
Palladium,Tele-Cassentten Game,1978
Unisonic,Champion 2711,1978
Intertron,VC 4000,1978
